customer_id,customer_name,customer_mobile                         ,frequency
tXIGx9nW,amy.tXIGx9nW,+886954171253,19
EHhUCcDM,dora.EHhUCcDM,+886974655522,19
JzISpDib,dora.JzISpDib,+886922414791,0
qjrssQuQ,jason.qjrssQuQ,+886921046489,2
hQ6e4izZ,jack.hQ6e4izZ,+886997140408,14
jIBLUd3j,tom.jIBLUd3j,+886980075338,17
LVKYkhZ2,hank.LVKYkhZ2,+886965483206,18
gswocBoW,hank.gswocBoW,+886938008055,18
Db6HUzN6,tom.Db6HUzN6,+886933405600,1
biY05zQF,tom.biY05zQF,+886938121555,2
SgpkpQY3,dora.SgpkpQY3,+886924113201,14
yLYfavpi,peter.yLYfavpi,+886996188683,8
YOtEzkol,hank.YOtEzkol,+886990124178,4
eoLR0Hn4,jason.eoLR0Hn4,+886954638249,9
RAzaf9Fj,tommy.RAzaf9Fj,+886977495442,2
ivMGKIcQ,jack.ivMGKIcQ,+886979972183,12
V3mx6i1j,jason.V3mx6i1j,+886902413047,3
iLzjVAu4,tommy.iLzjVAu4,+886923762149,2
LUsyAb63,rosa.LUsyAb63,+886958570168,4
nkFesBWu,rosa.nkFesBWu,+886930406470,5
loWr49Rd,amy.loWr49Rd,+886918324649,7
sFvE9bBP,jason.sFvE9bBP,+886943378532,18
bfEDgocW,tom.bfEDgocW,+886971245078,8
QhXq2U8e,tommy.QhXq2U8e,+886952775150,6
QD4Bmvsu,rosa.QD4Bmvsu,+886939384430,6
MhUQb6Qc,hank.MhUQb6Qc,+886906134211,13
rqK8mMRW,jason.rqK8mMRW,+886912075599,17
IUD5EiR2,tommy.IUD5EiR2,+886995206201,7
mMEafq1R,rosa.mMEafq1R,+886990603419,9
r3LAHiEX,peter.r3LAHiEX,+886936693493,14
B8vgU75X,tom.B8vgU75X,+886909211852,5
MbQEOv0V,peter.MbQEOv0V,+886976282089,14
mGqsBINd,peter.mGqsBINd,+886913242784,16
IWrWi47j,rosa.IWrWi47j,+886967855342,7
qqD96WQm,john.qqD96WQm,+886915357455,17
YIlPbLZY,amy.YIlPbLZY,+886927828890,13
Jr6TJa5X,rosa.Jr6TJa5X,+886964011442,10
R2zunGlz,jack.R2zunGlz,+886945909968,19
DzRBHNTC,tommy.DzRBHNTC,+886943143287,17
VC2C4ax2,rosa.VC2C4ax2,+886939690912,20
At78bhJi,tom.At78bhJi,+886957182303,20
dYKM5wbV,hank.dYKM5wbV,+886998717280,6
LPhdPimC,hank.LPhdPimC,+886987388500,14
yEUjXboo,hank.yEUjXboo,+886913642997,15
UFTtDFEB,rosa.UFTtDFEB,+886961182757,1
YlGRCtrX,rosa.YlGRCtrX,+886964546971,11
rPizdbDx,jason.rPizdbDx,+886958687403,15
ZKtEeVnx,dora.ZKtEeVnx,+886928684085,11
r9kwNmw8,peter.r9kwNmw8,+886925991303,11
emhUeGfO,dora.emhUeGfO,+886919581121,10
uwMpME1N,hank.uwMpME1N,+886980802000,12
CXpIbg0y,hank.CXpIbg0y,+886944887625,17
uUEPeiDm,tommy.uUEPeiDm,+886939669216,0
j7tjbQwK,rosa.j7tjbQwK,+886956482143,14
srm6qZJ4,hank.srm6qZJ4,+886911173768,16
ygJZJyHj,peter.ygJZJyHj,+886902900087,18
P336C6HN,jack.P336C6HN,+886965099531,10
MwAka8c8,dora.MwAka8c8,+886975237528,15
XGXjzb7p,tommy.XGXjzb7p,+886933734412,3
T3OrWKlS,john.T3OrWKlS,+886918831326,18
MVXvZqLQ,jason.MVXvZqLQ,+886921110832,6
V44zqcFs,jason.V44zqcFs,+886936904751,0
mCkSy8AY,jason.mCkSy8AY,+886968264014,11
ZOZs00Vv,tommy.ZOZs00Vv,+886975578050,9
uJA75MtO,tommy.uJA75MtO,+886947899643,15
oywW6UNv,hank.oywW6UNv,+886987686376,11
iBsFpfV8,dora.iBsFpfV8,+886958918460,10
FqcR31qB,hank.FqcR31qB,+886934330120,20
BnpmxejT,john.BnpmxejT,+886937925859,5
bSa0KBdK,tom.bSa0KBdK,+886994335128,1
BT0Zgfw1,jason.BT0Zgfw1,+886911719509,17
Z4ZS2dvN,tommy.Z4ZS2dvN,+886915567807,20
MzwCaCpc,jack.MzwCaCpc,+886924049040,18
zqUzkCHw,dora.zqUzkCHw,+886987692118,14
chYV5nNm,jason.chYV5nNm,+886982053621,9
dV31TmhP,dora.dV31TmhP,+886925219989,2
ETIaaeiX,amy.ETIaaeiX,+886983755082,14
zHUuNtia,rosa.zHUuNtia,+886900070365,16
F8NVj5JK,peter.F8NVj5JK,+886951455432,2
f6FWlKL0,hank.f6FWlKL0,+886915628997,18
hjFTzPoX,amy.hjFTzPoX,+886950221667,18
Ge7ZP2hd,tom.Ge7ZP2hd,+886993058428,9
HcFAGiV5,jack.HcFAGiV5,+886947530885,6
GGV4bFl2,hank.GGV4bFl2,+886915824752,0
HPc2Hh7w,john.HPc2Hh7w,+886983500168,8
nbqbuaCA,tom.nbqbuaCA,+886936191765,10
smKqFlhj,tommy.smKqFlhj,+886962233244,0
MfoadW7p,john.MfoadW7p,+886974967445,19
U8eLfjOO,tom.U8eLfjOO,+886981150159,7
AUcKy2zs,amy.AUcKy2zs,+886910123730,0
psqWk1fT,dora.psqWk1fT,+886934616984,19
gMBLCi2A,rosa.gMBLCi2A,+886993560301,19
z4OBYGfi,jack.z4OBYGfi,+886907946796,16
XExaP4zG,rosa.XExaP4zG,+886964966115,6
pEof2ClX,jason.pEof2ClX,+886930852291,19
QF2LymoC,jack.QF2LymoC,+886934029596,18
uMjAtGFa,rosa.uMjAtGFa,+886995236086,20
bjTQgHQX,amy.bjTQgHQX,+886950594777,9
KlS76n9d,rosa.KlS76n9d,+886916554401,9
pNrcDx0R,hank.pNrcDx0R,+886965505389,15
hC6Dz7ma,tommy.hC6Dz7ma,+886923142350,20
NkKcqmK5,hank.NkKcqmK5,+886905117587,9
slBBT5ft,john.slBBT5ft,+886968264457,7
ZZVVuSbs,amy.ZZVVuSbs,+886967514463,17
kaEYXRiZ,tom.kaEYXRiZ,+886954307156,17
DAi7VfvO,hank.DAi7VfvO,+886927964305,6
BVIIwCRE,john.BVIIwCRE,+886917257203,4
C3DtHT2a,rosa.C3DtHT2a,+886925114583,13
ggIyydcP,tom.ggIyydcP,+886996793522,1
zxRePYvJ,hank.zxRePYvJ,+886920616519,0
FEgVKL0q,jason.FEgVKL0q,+886959125324,2
HR9Ti8fy,john.HR9Ti8fy,+886955517150,13
nWgUV0UT,jason.nWgUV0UT,+886958305079,10
xijJUg95,hank.xijJUg95,+886963686661,2
PtXJrpDy,dora.PtXJrpDy,+886915691537,15
VHf45x2r,rosa.VHf45x2r,+886900174685,15
z1aVFccG,jack.z1aVFccG,+886959062306,0
MEvUHeYV,jack.MEvUHeYV,+886924120492,2
ljgEHqgA,jack.ljgEHqgA,+886910702187,12
GOO8D15y,jack.GOO8D15y,+886950783937,16
Wzqq6Z2u,john.Wzqq6Z2u,+886905126750,13
kQvIdFJR,jason.kQvIdFJR,+886921032550,12
xJMy0xOk,hank.xJMy0xOk,+886935308066,8
o4CVMX5Q,rosa.o4CVMX5Q,+886927427011,8
Zd1A4Wot,tommy.Zd1A4Wot,+886910184374,15
mb3MQNEt,amy.mb3MQNEt,+886992589174,12
cyIFlU2P,amy.cyIFlU2P,+886935209254,4
E1b3l8y1,tom.E1b3l8y1,+886922350529,18
EeCTlpVH,hank.EeCTlpVH,+886918235952,18
nPbInBk6,hank.nPbInBk6,+886995494222,2
bNhEmQwA,dora.bNhEmQwA,+886941797026,5
GUj8eAdW,jason.GUj8eAdW,+886908095319,14
njIsrP3Q,john.njIsrP3Q,+886953470064,15
slp7XSNi,john.slp7XSNi,+886943559718,3
pNHz49wQ,jack.pNHz49wQ,+886980476110,18
RXhPAxWX,amy.RXhPAxWX,+886980307732,19
RVqVruV7,john.RVqVruV7,+886922032573,0
A0JYbX30,amy.A0JYbX30,+886917632790,3
hYeDtmig,tom.hYeDtmig,+886965205184,20
klgovW8r,dora.klgovW8r,+886945698154,18
bBvDdDfA,hank.bBvDdDfA,+886941063418,7
BLPpIQKS,tommy.BLPpIQKS,+886996397369,16
cEaSPnnL,rosa.cEaSPnnL,+886906654081,18
ZurgOdSV,amy.ZurgOdSV,+886903346989,6
z17NtG3s,jason.z17NtG3s,+886975868292,1
DdggsYQP,jack.DdggsYQP,+886977774931,7
dwp6dJvM,peter.dwp6dJvM,+886994994989,15
mVE9ZomY,john.mVE9ZomY,+886961078295,2
civqGOH9,jason.civqGOH9,+886962654175,8
ZfnpI3PJ,peter.ZfnpI3PJ,+886978245994,11
VHN59Ssx,tom.VHN59Ssx,+886966781162,17
T9eXMy9I,jack.T9eXMy9I,+886980043913,20
RQu6wk9r,dora.RQu6wk9r,+886953369494,11
m5gjMTPn,rosa.m5gjMTPn,+886905108454,5
q4vCsNBc,tom.q4vCsNBc,+886963381278,15
tg9uQdD7,tom.tg9uQdD7,+886968975367,15
DAwMwHXn,jack.DAwMwHXn,+886941956833,7
TvViAD34,rosa.TvViAD34,+886955647054,16
LcFUT2Gf,hank.LcFUT2Gf,+886994234185,1
Kh0RRL0u,tom.Kh0RRL0u,+886993459019,4
XLRltNHU,hank.XLRltNHU,+886914748260,16
yFqRyGJN,peter.yFqRyGJN,+886971392793,1
mrBVmsgD,tom.mrBVmsgD,+886962324883,12
suYKoZ9Q,jason.suYKoZ9Q,+886949789296,1
GYlOYPRw,amy.GYlOYPRw,+886909812410,20
SqYGDN4E,dora.SqYGDN4E,+886971543333,1
AZ0UE3eI,hank.AZ0UE3eI,+886996892570,0
wGUitWpz,jason.wGUitWpz,+886917131948,3
H2KkHo9G,john.H2KkHo9G,+886969393449,0
vNCt9CHS,rosa.vNCt9CHS,+886913164413,20
lPSvA5jB,rosa.lPSvA5jB,+886900100993,7
wZy5r0wi,tom.wZy5r0wi,+886949035653,9
YysiJN8W,tommy.YysiJN8W,+886927623577,19
hzL35xAy,rosa.hzL35xAy,+886971377707,11
LMpVNHxA,tommy.LMpVNHxA,+886960326598,7
TSzaS84a,tommy.TSzaS84a,+886946300072,4
v2IRMUge,amy.v2IRMUge,+886987200311,13
DP1RGTDY,jason.DP1RGTDY,+886944998128,3
P8BtgzcQ,jack.P8BtgzcQ,+886979657142,6
izvneyds,john.izvneyds,+886915037372,14
xsYLR0zX,jack.xsYLR0zX,+886928484144,8
